code_m,name_m,code_s,name_s,code_ss,name_ss
,,50000390,베이스메이크업세트,,
50000195,색조메이크업,50000391,립스틱,,
,,50000392,립케어,,
,,50000393,립글로스,,
,,50000394,립틴트,,
,,50000395,립라이너,,
,,50000396,아이섀도,,
,,50001371,아이라이너,50004377,리퀴드형
,,,,50004583,젤형
,,,,50004584,펜슬형
,,50000397,마스카라,,
,,50000398,아이브로,,
,,50000399,블러셔,,
,,50000400,하이라이터,,
,,50000401,색조메이크업세트,,
50000201,뷰티소품,50000319,화장품케이스,,
,,50005289,DIY화장품재료,,
,,50001373,아이소품,50004379,뷰러
,,,,50004380,속눈썹
,,,,50004381,쌍꺼풀
,,,,50004382,눈썹칼
,,,,50004383,눈썹가위
,,,,50004384,족집게
,,,,50004385,샤프너
,,,,50004386,기타아이소품
,,50001374,페이스소품,50004387,기름종이
,,,,50004388,화장솜
,,,,50004389,퍼프
,,,,50004586,면봉
,,,,50004391,마사지도구
,,,,50004392,세안도구
,,,,50004393,코털제거기
,,,,50004394,피지/각질제거기
,,,,50004395,기타페이스소품
,,50001375,헤어소품,50004396,헤어브러시
,,,,50005097,에어브러시
,,,,50005098,드라이어
,,,,50005099,고데기
,,,,50005100,매직기
,,,,50004397,미용가위
,,,,50004398,헤어롤
,,,,50005101,롤셋
,,,,50004399,세안밴드
,,,,50005102,가발
,,,,50005103,헤어핀
,,,,50005104,헤어끈
,,,,50004400,헤어캡
,,,,50004401,기타헤어소품
,,50000316,바디소품,,
,,50001376,메이크업브러시,50004402,립브러시
,,,,50004587,아이브러시
,,,,50004588,페이스브러시
,,,,50004589,브러시세트
,,50005105,거울,,
,,50000317,타투,,
,,50005106,피부케어기기,,
50000193,마스크/팩,50000463,마스크시트,,
,,50000464,필오프팩,,
,,50000465,워시오프팩,,
,,50000466,코팩,,
,,50000467,수면팩,,
,,50000468,마사지크림/젤,,
,,50000469,마스크/팩세트,,
50000196,네일케어,50000402,매니큐어,,
,,50000403,네일아트,,
